Date,Species,Trap,NumMosquitos,WnvPresent,Year,DayofYear,tmax_x,tmin_x,tavg_x,depart_x,dewpoint_x,wetbulb_x,heat_x,cool_x,preciptotal_x,stnpressure_x,sealevel_x,resultspeed_x,resultdir_x,avgspeed_x,tmax_y,tmin_y,tavg_y,depart_y,dewpoint_y,wetbulb_y,heat_y,cool_y,preciptotal_y,stnpressure_y,sealevel_y,resultspeed_y,resultdir_y,avgspeed_y,year,coollast7,coollast30,coollast90,preciplast7,preciplast30,preciplast90
2007-05-29,2,1,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,1,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,8,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,2,15,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,15,4,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,34,2,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,35,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,2,37,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,37,2,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,38,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,2,39,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,2,41,2,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,41,3,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,2,68,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,68,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,75,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,77,3,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,1,80,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,80,5,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,2,91,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,91,2,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,2,96,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,2,101,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,106,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-05-29,3,112,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0
2007-06-05,1,1,1,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,2,1,3,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,3,1,5,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,3,10,2,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,3,11,1,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,2,15,1,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,3,15,2,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,3,16,1,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,3,19,1,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,3,20,1,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,3,22,2,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,2,24,1,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
2007-06-05,3,25,3,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01
