Date,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Year,DayofYear,tmax_x,tmin_x,tavg_x,depart_x,dewpoint_x,wetbulb_x,heat_x,cool_x,preciptotal_x,stnpressure_x,sealevel_x,resultspeed_x,resultdir_x,avgspeed_x,tmax_y,tmin_y,tavg_y,depart_y,dewpoint_y,wetbulb_y,heat_y,cool_y,preciptotal_y,stnpressure_y,sealevel_y,resultspeed_y,resultdir_y,avgspeed_y,year,coollast7,coollast30,coollast90,preciplast7,preciplast30,preciplast90,wblast7,wblast30,wblast90
2007-05-29,2,1,41.95469,-87.800991,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,1,41.95469,-87.800991,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,8,41.994991,-87.769279,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,2,15,41.974089,-87.824812,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,15,41.974089,-87.824812,4,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,34,41.9216,-87.666455,2,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,35,41.891118,-87.654491,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,2,37,41.867108,-87.654224,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,37,41.867108,-87.654224,2,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,38,41.896282,-87.655232,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,2,39,41.919343,-87.694259,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,2,41,41.921965,-87.632085,2,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,41,41.921965,-87.632085,3,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,2,68,41.688324,-87.676709,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,68,41.688324,-87.676709,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,75,41.862292,-87.64886,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,77,41.720848,-87.666014,3,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,1,80,41.731922,-87.677512,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,80,41.731922,-87.677512,5,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,2,91,41.891126,-87.61156,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,91,41.891126,-87.61156,2,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,2,96,41.999129,-87.795585,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,2,101,42.01743,-87.687769,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,106,41.907645,-87.760886,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-05-29,3,112,41.732984,-87.649642,1,0,2007,149,88,60,0.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,88,65,0.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,2007,31.0,35.0,0.0,1.08,0.735,0.0,412.0,1149.0,0.0
2007-06-05,1,1,41.95469,-87.800991,1,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01,439.5,1263.0,298.0
2007-06-05,2,1,41.95469,-87.800991,3,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01,439.5,1263.0,298.0
2007-06-05,3,1,41.95469,-87.800991,5,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01,439.5,1263.0,298.0
2007-06-05,3,10,41.981964,-87.812827,2,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01,439.5,1263.0,298.0
2007-06-05,3,11,41.944869,-87.832763,1,0,2007,156,64,47,0.42,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,63,51,0.27,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,41.0,64.0,2.0,1.06,1.805,0.01,439.5,1263.0,298.0
